frequency,raw
20.299999,106.367
20.6,106.371
20.9,106.367
21.200001,106.361
21.4,106.357
21.799999,106.349
22.0,106.345
22.4,106.336
22.700001,106.33
23.0,106.324
23.299999,106.319
23.6,106.314
24.0,106.306
24.299999,106.299
24.700001,106.288
25.0,106.279
25.4,106.267
25.799999,106.254
26.200001,106.242
26.5,106.232
26.9,106.217
27.200001,106.204
27.6,106.186
28.0,106.169
28.5,106.148
29.0,106.128
29.5,106.106
30.0,106.083
30.4,106.063
30.700001,106.047
31.1,106.026
31.5,106.006
32.0,105.98
32.5,105.954
33.0,105.928
33.5,105.902
34.0,105.876
34.5,105.848
35.0,105.819
35.5,105.789
36.0,105.76
36.5,105.73
37.0,105.7
37.5,105.67
38.200001,105.627
38.700001,105.597
39.5,105.55
40.0,105.52
40.599998,105.484
41.200001,105.447
41.799999,105.409
42.5,105.365
43.099998,105.328
43.700001,105.29
44.400002,105.243
45.0,105.204
45.5,105.174
46.200001,105.131
46.799999,105.089
47.5,105.04
48.200001,104.998
48.700001,104.969
49.400002,104.924
50.0,104.883
50.799999,104.828
51.5,104.782
52.200001,104.737
53.0,104.688
53.799999,104.637
54.5,104.589
55.200001,104.542
56.0,104.491
57.0,104.426
58.0,104.362
59.0,104.297
60.0,104.222
60.799999,104.176
61.5,104.141
62.200001,104.098
63.0,104.044
64.0,103.981
65.0,103.917
66.0,103.853
67.0,103.793
68.0,103.732
69.0,103.673
70.0,103.606
71.0,103.539
72.0,103.486
73.0,103.424
74.0,103.363
75.0,103.305
76.199997,103.231
77.5,103.151
78.800003,103.078
80.0,103.008
81.199997,102.937
82.5,102.865
83.800003,102.79
85.0,102.725
86.199997,102.657
87.5,102.586
88.5,102.532
90.0,102.448
91.199997,102.383
92.5,102.314
93.800003,102.246
95.0,102.182
96.199997,102.119
97.5,102.053
98.800003,101.988
100.0,101.927
101.5,101.85
103.0,101.776
104.400002,101.707
106.0,101.627
107.5,101.555
109.0,101.481
110.599998,101.412
112.0,101.341
113.800003,101.264
115.0,101.201
117.199997,101.105
118.0,101.084
120.599998,100.932
122.0,100.887
