frequency,raw
20.299999,96.268
20.6,96.319
20.9,96.336
21.200001,96.33
21.4,96.319
21.799999,96.302
22.0,96.305
22.4,96.34
22.700001,96.387
23.0,96.438
23.299999,96.479
23.6,96.501
24.0,96.501
24.299999,96.492
24.700001,96.493
25.0,96.512
25.4,96.561
25.799999,96.617
26.200001,96.661
26.5,96.682
26.9,96.701
27.200001,96.715
27.6,96.739
28.0,96.765
28.5,96.788
29.0,96.798
29.5,96.807
30.0,96.823
30.4,96.839
30.700001,96.848
31.1,96.858
31.5,96.868
32.0,96.884
32.5,96.902
33.0,96.911
33.5,96.914
34.0,96.921
34.5,96.939
35.0,96.961
35.5,96.979
36.0,96.99
36.5,97.003
37.0,97.017
37.5,97.026
38.200001,97.021
38.700001,97.013
39.5,97.016
40.0,97.029
40.599998,97.051
41.200001,97.073
41.799999,97.089
42.5,97.087
43.099998,97.083
43.700001,97.094
44.400002,97.111
45.0,97.111
45.5,97.109
46.200001,97.112
46.799999,97.105
47.5,97.092
48.200001,97.134
48.700001,97.193
49.400002,97.228
50.0,97.179
50.799999,97.082
51.5,97.063
52.200001,97.122
53.0,97.204
53.799999,97.186
54.5,97.109
55.200001,97.068
56.0,97.086
57.0,97.097
58.0,97.088
59.0,97.104
60.0,97.092
60.799999,97.08
61.5,97.084
62.200001,97.076
63.0,97.064
64.0,97.083
65.0,97.077
66.0,97.062
67.0,97.058
68.0,97.038
69.0,97.047
70.0,96.981
71.0,96.942
72.0,97.014
73.0,96.996
74.0,96.998
75.0,96.964
76.199997,96.948
77.5,96.953
78.800003,96.942
80.0,96.921
81.199997,96.917
82.5,96.887
83.800003,96.877
85.0,96.859
86.199997,96.845
87.5,96.826
88.5,96.815
90.0,96.793
91.199997,96.773
92.5,96.753
93.800003,96.732
95.0,96.71
96.199997,96.695
97.5,96.678
98.800003,96.66
100.0,96.64
101.5,96.617
103.0,96.592
104.400002,96.572
106.0,96.54
107.5,96.519
109.0,96.496
110.599998,96.466
112.0,96.441
113.800003,96.414
115.0,96.394
117.199997,96.346
118.0,96.332
120.599998,96.273
122.0,96.266
124.099998,96.224
125.0,96.208
126.5,96.182
128.0,96.155
131.5,96.085
132.0,96.073
134.0,96.038
136.0,95.998
138.0,95.958
140.0,95.917
143.0,95.873
145.0,95.811
147.5,95.765
150.0,95.713
152.5,95.666
155.0,95.616
157.5,95.567
160.0,95.518
162.5,95.463
165.0,95.425
167.5,95.378
170.0,95.329
172.5,95.276
175.0,95.227
177.5,95.179
180.0,95.152
182.5,95.119
185.0,95.099
187.5,95.092
190.0,95.066
192.5,95.044
195.0,94.998
197.5,94.969
200.0,94.93
203.0,94.883
206.0,94.833
209.0,94.786
212.0,94.732
214.0,94.701
218.0,94.636
220.0,94.595
224.0,94.524
227.0,94.478
230.0,94.43
233.0,94.385
236.0,94.329
240.0,94.271
243.0,94.223
247.0,94.162
250.0,94.115
254.0,94.052
258.0,93.992
262.0,93.932
265.0,93.891
269.0,93.832
272.0,93.785
276.0,93.731
280.0,93.673
285.0,93.604
290.0,93.538
295.0,93.474
300.0,93.418
304.0,93.36
307.0,93.321
311.0,93.277
315.0,93.222
320.0,93.163
325.0,93.109
330.0,93.043
335.0,92.985
340.0,92.926
345.0,92.866
350.0,92.809
355.0,92.754
360.0,92.7
365.0,92.641
370.0,92.596
375.0,92.543
382.0,92.477
387.0,92.434
395.0,92.365
400.0,92.323
406.0,92.268
412.0,92.218
418.0,92.163
425.0,92.106
431.0,92.055
437.0,92.008
444.0,91.954
450.0,91.909
455.0,91.869
462.0,91.814
468.0,91.776
475.0,91.729
482.0,91.674
487.0,91.651
494.0,91.602
500.0,91.561
508.0,91.51
515.0,91.471
522.0,91.431
530.0,91.39
538.0,91.339
545.0,91.307
552.0,91.266
560.0,91.227
570.0,91.177
580.0,91.133
590.0,91.087
600.0,91.044
608.0,91.012
615.0,90.983
622.0,90.959
630.0,90.926
640.0,90.891
650.0,90.861
660.0,90.837
670.0,90.801
680.0,90.773
690.0,90.753
700.0,90.727
710.0,90.707
720.0,90.69
730.0,90.67
740.0,90.651
750.0,90.638
762.0,90.624
775.0,90.615
788.0,90.614
800.0,90.605
812.0,90.616
825.0,90.621
838.0,90.633
850.0,90.652
862.0,90.666
875.0,90.693
885.0,90.717
900.0,90.745
912.0,90.797
925.0,90.835
938.0,90.884
950.0,90.933
962.0,90.987
975.0,91.046
988.0,91.116
1000.0,91.177
1015.0,91.269
1030.0,91.357
1044.0,91.445
1060.0,91.548
1075.0,91.655
1090.0,91.757
1106.0,91.868
1120.0,91.97
1138.0,92.099
1150.0,92.181
1172.0,92.341
1180.0,92.398
1206.0,92.575
1220.0,92.669
1241.0,92.808
1250.0,92.865
1265.0,92.957
1280.0,93.048
1315.0,93.246
1320.0,93.273
1340.0,93.382
1360.0,93.484
1380.0,93.584
1400.0,93.679
1430.0,93.814
1450.0,93.905
1475.0,94.012
1500.0,94.117
1525.0,94.224
1550.0,94.329
1575.0,94.432
1600.0,94.539
1625.0,94.645
1650.0,94.759
1675.0,94.879
1700.0,95.003
1725.0,95.128
1750.0,95.253
1775.0,95.377
1800.0,95.504
1825.0,95.623
1850.0,95.743
1875.0,95.867
1900.0,95.99
1925.0,96.115
1950.0,96.238
1975.0,96.361
2000.0,96.487
2030.0,96.626
2060.0,96.769
2090.0,96.91
2120.0,97.047
2140.0,97.138
2180.0,97.314
2200.0,97.398
2240.0,97.566
2270.0,97.688
2300.0,97.806
2330.0,97.927
2360.0,98.036
2400.0,98.183
2430.0,98.284
2470.0,98.417
2500.0,98.515
2540.0,98.632
2580.0,98.744
2620.0,98.846
2650.0,98.919
2690.0,99.008
2720.0,99.065
2760.0,99.136
2800.0,99.201
2850.0,99.281
2900.0,99.375
2950.0,99.488
3000.0,99.612
3040.0,99.71
3070.0,99.781
3110.0,99.87
3150.0,99.956
3200.0,100.043
3250.0,100.109
3300.0,100.155
3350.0,100.188
3400.0,100.207
3450.0,100.213
3500.0,100.206
3550.0,100.185
3600.0,100.15
3650.0,100.105
3700.0,100.064
3750.0,100.02
3820.0,99.961
3870.0,99.916
3950.0,99.83
4000.0,99.771
4060.0,99.684
4120.0,99.589
4180.0,99.496
4250.0,99.408
4310.0,99.335
4370.0,99.249
4440.0,99.135
4500.0,99.028
4550.0,98.933
4620.0,98.788
4680.0,98.65
4750.0,98.486
4820.0,98.317
4870.0,98.196
4940.0,98.018
5000.0,97.868
5080.0,97.675
5150.0,97.508
5220.0,97.34
5300.0,97.153
5380.0,96.971
5450.0,96.815
5520.0,96.664
5600.0,96.5
5700.0,96.316
5800.0,96.159
5900.0,96.037
6000.0,95.95
6080.0,95.896
6150.0,95.865
6220.0,95.846
6300.0,95.839
6400.0,95.839
6500.0,95.856
6600.0,95.885
6700.0,95.919
6800.0,95.967
6900.0,96.051
7000.0,96.177
7100.0,96.385
7200.0,96.687
7300.0,97.091
7400.0,97.576
7500.0,98.149
7620.0,98.918
7750.0,99.748
7880.0,100.413
8000.0,100.664
8120.0,100.448
8250.0,99.731
8380.0,98.717
8500.0,97.675
8620.0,96.608
8750.0,95.47
8850.0,94.643
9000.0,93.491
9120.0,92.666
9250.0,91.875
9380.0,91.172
9500.0,90.604
9620.0,90.103
9750.0,89.648
9880.0,89.254
10000.0,88.945
10150.0,88.665
10300.0,88.378
10440.0,88.193
10600.0,88.047
10750.0,87.948
10900.0,87.904
11060.0,87.891
