frequency,raw
20.299999,102.319954
20.6,102.291832
20.9,102.260544
21.200001,102.238777
21.4,102.2314
21.799999,102.228615
22.0,102.229912
22.4,102.232056
22.700001,102.231277
23.0,102.229797
23.299999,102.229408
23.6,102.230461
24.0,102.230804
24.299999,102.227036
24.700001,102.215225
25.0,102.204193
25.4,102.192513
25.799999,102.187439
26.200001,102.184631
26.5,102.179565
26.9,102.167137
27.200001,102.156143
27.6,102.145409
28.0,102.140121
28.5,102.127258
29.0,102.08712
29.5,102.02652
30.0,101.983879
30.4,101.980217
30.700001,101.990585
31.1,102.004311
31.5,101.998749
32.0,101.959518
32.5,101.909409
33.0,101.877449
33.5,101.863022
34.0,101.845978
34.5,101.81781
35.0,101.788773
35.5,101.768799
36.0,101.753632
36.5,101.732605
37.0,101.702538
37.5,101.669647
38.200001,101.632233
38.700001,101.613091
39.5,101.580887
40.0,101.549713
40.599998,101.500443
41.200001,101.450928
41.799999,101.412689
42.5,101.378036
43.099998,101.345078
43.700001,101.306625
44.400002,101.26207
45.0,101.22641
45.5,101.195587
46.200001,101.147835
46.799999,101.105331
47.5,101.057518
48.200001,101.012459
48.700001,100.985229
49.400002,100.954994
50.0,100.923874
50.799999,100.861618
51.5,100.807182
52.200001,100.766479
53.0,100.721283
53.799999,100.664169
54.5,100.609383
55.200001,100.576477
56.0,100.561035
57.0,100.489258
58.0,100.481796
59.0,100.381165
60.0,100.096832
60.799999,100.143059
61.5,100.263329
62.200001,100.244209
63.0,100.153244
64.0,100.096519
65.0,100.048141
66.0,100.009079
67.0,99.918671
68.0,99.862549
69.0,99.816612
70.0,99.758148
71.0,99.694382
72.0,99.640862
73.0,99.592682
74.0,99.525734
75.0,99.462059
76.199997,99.422058
77.5,99.343582
78.800003,99.271477
80.0,99.229019
81.199997,99.20607
82.5,99.079361
83.800003,99.018387
85.0,98.952316
86.199997,98.896004
87.5,98.821846
88.5,98.78569
90.0,98.715759
91.199997,98.641075
92.5,98.57843
93.800003,98.514687
95.0,98.468201
96.199997,98.427414
97.5,98.37191
98.800003,98.305008
100.0,98.248184
101.5,98.196716
103.0,98.132462
104.400002,98.057556
106.0,97.992928
107.5,97.941864
109.0,97.862617
110.599998,97.830452
112.0,97.763191
113.800003,97.685066
115.0,97.666794
117.199997,97.557098
118.0,97.552773
120.599998,97.3908
122.0,97.367142
124.099998,97.335098
125.0,97.304291
126.5,97.262047
128.0,97.203629
131.5,97.104675
132.0,97.089241
134.0,97.038193
136.0,96.983459
138.0,96.939522
140.0,96.894051
143.0,96.830635
145.0,96.7948
147.5,96.740608
150.0,96.697266
152.5,96.648651
155.0,96.607635
157.5,96.558746
160.0,96.52417
162.5,96.484367
165.0,96.448845
167.5,96.409706
170.0,96.37368
172.5,96.341476
175.0,96.308197
177.5,96.267502
180.0,96.26091
182.5,96.199059
185.0,96.172577
187.5,96.143387
190.0,96.116249
192.5,96.098167
195.0,96.057556
197.5,96.045082
200.0,96.01947
203.0,96.002655
206.0,95.981819
209.0,95.959267
212.0,95.94252
214.0,95.924698
218.0,95.908554
220.0,95.895309
224.0,95.879585
227.0,95.864723
230.0,95.85936
233.0,95.847794
236.0,95.840408
240.0,95.770218
243.0,95.807632
247.0,95.803612
250.0,95.800064
254.0,95.794037
258.0,95.78923
262.0,95.785408
265.0,95.780029
269.0,95.779495
272.0,95.780365
276.0,95.779877
280.0,95.773163
285.0,95.779526
290.0,95.779556
295.0,95.775734
300.0,95.704987
304.0,95.78051
307.0,95.780624
311.0,95.784256
315.0,95.78231
320.0,95.784561
325.0,95.790878
330.0,95.792648
335.0,95.798584
340.0,95.80069
345.0,95.795578
350.0,95.800941
355.0,95.800972
360.0,95.799362
365.0,95.807083
370.0,95.811829
375.0,95.814888
382.0,95.819252
387.0,95.831902
395.0,95.84967
400.0,95.851608
406.0,95.85276
412.0,95.858856
418.0,95.861282
425.0,95.860916
431.0,95.863487
437.0,95.862038
444.0,95.865204
450.0,95.857147
455.0,95.860237
462.0,95.858292
468.0,95.860062
475.0,95.85421
482.0,95.859131
487.0,95.85199
494.0,95.852432
500.0,95.852104
508.0,95.848267
515.0,95.84803
522.0,95.84166
530.0,95.840797
538.0,95.836967
545.0,95.83387
552.0,95.829269
560.0,95.831322
570.0,95.818893
580.0,95.814369
590.0,95.812172
600.0,95.79892
608.0,95.803871
615.0,95.798431
622.0,95.797966
630.0,95.793144
640.0,95.787521
650.0,95.786148
660.0,95.81752
670.0,95.777359
680.0,95.773354
690.0,95.769974
700.0,95.773148
710.0,95.768143
720.0,95.772614
730.0,95.774643
740.0,95.775482
750.0,95.778763
762.0,95.781807
775.0,95.788567
788.0,95.803947
800.0,95.816467
812.0,95.829254
825.0,95.848473
838.0,95.875816
850.0,95.900421
862.0,95.926041
875.0,95.962639
885.0,95.985504
900.0,96.050598
912.0,96.077553
925.0,96.12674
938.0,96.176567
950.0,96.230293
962.0,96.287537
975.0,96.354477
988.0,96.42263
1000.0,96.490547
1015.0,96.574913
1030.0,96.669144
1044.0,96.755592
1060.0,96.859573
1075.0,96.958344
1090.0,97.055084
1106.0,97.158859
1120.0,97.255333
1138.0,97.371414
1150.0,97.450302
1172.0,97.587685
1180.0,97.636993
1206.0,97.792915
1220.0,97.866325
1241.0,97.980141
1250.0,98.027145
1265.0,98.096519
1280.0,98.161079
1315.0,98.309448
1320.0,98.309685
1340.0,98.401344
1360.0,98.466583
1380.0,98.540886
1400.0,98.589523
1430.0,98.666565
1450.0,98.721695
1475.0,98.778076
1500.0,98.84111
1525.0,98.892548
1550.0,98.947121
1575.0,99.00695
1600.0,99.06144
1625.0,99.120583
1650.0,99.180504
1675.0,99.240753
1700.0,99.307213
1725.0,99.372475
1750.0,99.444519
1775.0,99.517349
1800.0,99.592979
1825.0,99.671829
1850.0,99.754654
1875.0,99.84272
1900.0,99.930412
1925.0,100.018425
1950.0,100.11541
1975.0,100.212517
2000.0,100.31337
2030.0,100.439072
2060.0,100.574539
2090.0,100.706284
2120.0,100.841919
2140.0,100.937637
2180.0,101.132317
2200.0,101.230759
2240.0,101.434105
2270.0,101.586624
2300.0,101.743774
2330.0,101.900558
2360.0,102.059319
2400.0,102.268547
2430.0,102.431114
2470.0,102.637192
2500.0,102.790146
2540.0,102.990486
2580.0,103.178139
2620.0,103.357407
2650.0,103.482941
2690.0,103.63662
2720.0,103.74276
2760.0,103.864388
2800.0,103.96595
2850.0,104.063286
2900.0,104.132263
2950.0,104.176445
3000.0,104.209015
3040.0,104.231529
3070.0,104.239853
3110.0,104.239029
3150.0,104.221863
3200.0,104.178314
3250.0,104.109756
3300.0,104.036446
3350.0,103.957626
3400.0,103.878052
3450.0,103.79953
3500.0,103.718018
3550.0,103.641808
3600.0,103.562836
3650.0,103.481468
3700.0,103.404228
3750.0,103.333206
3820.0,103.231361
3870.0,103.162064
3950.0,103.057671
4000.0,102.989204
4060.0,102.912369
4120.0,102.83699
4180.0,102.766251
4250.0,102.68721
4310.0,102.630646
4370.0,102.583344
4440.0,102.533257
4500.0,102.492058
4550.0,102.460472
4620.0,102.424713
4680.0,102.38826
4750.0,102.349518
4820.0,102.303055
4870.0,102.259155
4940.0,102.188812
5000.0,102.121994
5080.0,102.045563
5150.0,102.004433
5220.0,101.999489
5300.0,102.046326
5380.0,102.15213
5450.0,102.300613
5520.0,102.495094
5600.0,102.743507
5700.0,103.014076
5800.0,103.070145
5900.0,102.781128
6000.0,102.184906
6080.0,101.614029
6150.0,101.111687
6220.0,100.635704
6300.0,100.14357
6400.0,99.591537
6500.0,99.079445
6600.0,98.583298
6700.0,98.138763
6800.0,97.802811
6900.0,97.679176
7000.0,97.791451
7100.0,98.101898
7200.0,98.590279
7300.0,99.206757
7400.0,99.944412
7500.0,100.627426
7620.0,101.693665
7750.0,102.911819
7880.0,103.904205
8000.0,104.302414
8120.0,104.006485
8250.0,103.061188
8380.0,101.847328
8500.0,100.70639
8620.0,99.62059
8750.0,98.536385
8850.0,97.808502
9000.0,96.86615
9120.0,96.262337
9250.0,95.747986
9380.0,95.381821
9500.0,95.153641
9620.0,95.027275
9750.0,94.97937
9880.0,95.029427
10000.0,95.146355
10150.0,95.339821
10300.0,95.555351
10440.0,95.705429
10600.0,95.716858
10750.0,95.543823
10900.0,95.377792
11060.0,95.305923
11200.0,95.173019
11380.0,94.836945
11500.0,94.583771
11720.0,94.242455
11800.0,94.155098
12060.0,93.914711
12200.0,93.766869
12410.0,93.469246
12500.0,93.289299
12650.0,92.974014
12800.0,92.598846
13150.0,91.885193
13200.0,91.820679
13400.0,91.68013
13600.0,91.777473
13800.0,92.161339
14000.0,92.79718
14300.0,94.279068
14500.0,95.543106
14750.0,97.043671
15000.0,97.859589
15250.0,97.711121
15500.0,97.116287
15750.0,96.597961
16000.0,96.396347
16250.0,96.529816
16500.0,96.972855
16750.0,97.678909
17000.0,98.396088
17250.0,98.481422
17500.0,97.220726
17750.0,95.148689
18000.0,93.372299
18250.0,92.0588
18500.0,91.151062
18750.0,90.592636
19000.0,90.026955
19250.0,89.206169
19500.0,87.841034
19750.0,85.758247
